stationId,stationLatitude,stationLongitude,avg(parkingBike/rackTotCnt)
ST-116,37.56805038,126.96923065,0.0
ST-1161,37.51034927,127.01605225,0.0
ST-1164,37.48730850,127.01058197,0.0
ST-1166,37.46965027,127.03961182,0.0
ST-1168,37.47438812,127.03890228,0.0
ST-117,37.57579422,126.97145081,0.0
ST-1170,37.52684402,127.02825928,0.0
ST-1171,37.51763535,127.02245331,0.0
ST-1172,37.51913834,127.02751923,0.0
ST-1174,37.52330017,127.03847504,0.0
ST-1177,37.48934174,127.04129791,0.0
ST-1178,37.50542831,127.05287170,0.0
ST-1179,37.49655151,127.05429840,0.0
ST-1182,37.48927689,127.06557465,0.0
ST-1188,37.55739594,126.95216370,0.0
ST-1189,37.57838058,126.93609619,0.0
ST-1190,37.56799698,126.93165588,0.0
ST-1191,37.53701401,127.06109619,0.0
ST-1192,37.54595184,127.07800293,0.0
ST-1193,37.54822159,127.06787872,0.0
ST-1197,37.56460953,127.02919769,0.0
ST-120,37.57211304,126.97757721,0.0
ST-1200,37.59125137,127.01400757,0.0
ST-1206,37.59261703,126.99793243,0.0
ST-1207,37.58924866,127.00737762,0.0
ST-1208,37.60028839,127.01370239,0.0
ST-121,37.57255936,126.97833252,0.0
ST-1212,37.60475159,127.02275848,0.0
ST-1216,37.58388138,127.01709747,0.0
ST-1217,37.60083008,127.02355194,0.0
ST-122,37.57080841,126.97643280,0.0
ST-1220,37.49578094,126.89012146,0.0
ST-1225,37.47931671,126.89012146,0.0
ST-123,37.56999969,126.97109985,0.0
ST-1238,37.48567963,126.88670349,0.0
ST-1246,37.50636673,127.03452301,0.0
ST-1247,37.50134277,127.05046844,0.0
ST-125,37.56996155,126.97615814,0.0
ST-1250,37.56585312,126.84659576,0.0
ST-1251,37.56768036,126.84089661,0.0
ST-1252,37.54969406,126.81966400,0.0
ST-1260,37.47648239,126.96536255,0.0
ST-1262,37.47629547,126.96495819,0.0
ST-1263,37.55686188,127.07913971,0.0
ST-1267,37.46940613,126.94451141,0.0
ST-1271,37.54370499,127.09324646,0.0
ST-128,37.56467438,126.97673798,0.0
ST-1280,37.61938095,127.05785370,0.0
ST-1281,37.64936066,127.07044220,0.0
ST-1282,37.64733505,127.07642365,0.0
ST-1283,37.65578079,127.07177734,0.0
ST-1286,37.64352798,127.06522369,0.0
ST-1287,37.64340973,127.07183838,0.0
ST-1288,37.62934875,127.05482483,0.0
ST-1289,37.68859863,127.05340576,0.0
ST-129,37.55696106,126.97177124,0.0
ST-1290,37.65397644,127.06097412,0.0
ST-1297,37.67867661,127.04076385,0.0
ST-13,37.56819916,126.91784668,0.0
ST-130,37.57970810,126.98085785,0.0
ST-1303,37.58274841,127.04827881,0.0
ST-1306,37.48416138,127.01097107,0.0
ST-1308,37.47720337,127.00583649,0.0
ST-131,37.57596970,126.98306274,0.0
ST-1311,37.45742416,127.02265167,0.0
ST-1313,37.45561981,127.06710052,0.0
ST-1314,37.45560837,127.06445312,0.0
ST-1316,37.49941254,126.99941254,0.0
ST-1317,37.59071350,127.03619385,0.0
ST-1319,37.51626968,126.90686035,0.0
ST-1322,37.52011871,126.90516663,0.0
ST-1324,37.54188538,126.97966003,0.0
ST-1326,37.52293015,126.96169281,0.0
ST-1336,37.56260681,127.05130768,0.0
ST-1337,37.48154831,126.95200348,0.0
ST-1338,37.56844711,126.82164764,0.0
ST-134,37.56863403,126.98231506,0.0
ST-1345,37.60460281,127.10925293,0.0
ST-1348,37.62694168,127.05513000,0.0
ST-1353,37.51322937,126.90446472,0.0
ST-1354,37.51290131,126.92661285,0.0
ST-1355,37.50535583,126.96617889,0.0
ST-1359,37.48824310,127.02701569,0.0
ST-136,37.56622314,126.98358917,0.0
ST-1365,37.51395035,127.03015137,0.0
ST-1366,37.50958633,127.04090881,0.0
ST-137,37.56546402,126.98413849,0.0
ST-1377,37.56102753,127.04952240,0.0
ST-1379,37.54342651,127.09661865,0.0
ST-138,37.56447601,126.98696899,0.0
ST-1383,37.61207199,127.00813293,0.0
ST-1387,37.66366577,127.01242828,0.0
ST-1388,37.65615845,127.01313782,0.0
ST-1389,37.64967346,127.01345062,0.0
ST-139,37.56179428,126.98158264,0.0
ST-1390,37.64167023,127.01688385,0.0
ST-1391,37.62652969,127.01805878,0.0
ST-1392,37.62155151,127.02037048,0.0
ST-1394,37.64843750,127.06444550,0.0
ST-1395,37.64282990,127.10666656,0.0
ST-1396,37.64265442,127.10838318,0.0
ST-1397,37.56958389,126.90381622,0.0
ST-1405,37.50241089,127.02160645,0.0
ST-1406,37.48646927,127.02806091,0.0
ST-1409,37.51579666,127.10681915,0.0
ST-1410,37.49751663,127.15467834,0.0
ST-1411,37.49565887,127.15717316,0.0
ST-1414,37.50541306,127.13169098,0.0
ST-1416,37.47747040,127.14459229,0.0
ST-142,37.57624054,126.98616028,0.0
ST-1421,37.55483627,127.13732147,0.0
ST-1423,37.63018799,127.01773834,0.0
ST-1424,37.59296799,127.00223541,0.0
ST-1425,37.64580154,127.08226013,0.0
ST-1426,37.65745544,127.07554626,0.0
ST-1427,37.56864929,127.08625031,0.0
ST-1428,37.55023575,127.07382202,0.0
ST-1432,37.57048035,126.99663544,0.0
ST-1434,37.67771912,127.04681396,0.0
ST-1435,37.56655884,126.99243927,0.0
